ID,airport,system,files,year,fir
59,BAR,ILS,2021.12.20 BAR ILS PARAMETROS 06.pdf,2021,EZE
60,BAR,VOR,2021.01.21 BAR VOR LH02.pdf,2021,EZE
61,BAR,VOR,2021.04.30 BAR VOR LH05.pdf,2021,EZE
62,BAR,VOR,2021.05.31 BAR VOR LH06.pdf,2021,EZE
63,BAR,VOR,2021.07 BAR DME VOR TX1 PARAMETROS POUT.pdf,2021,EZE
64,BAR,VOR,2021.07 BAR DME VOR TX2 PARAMETROS POUT.pdf,2021,EZE
65,BAR,VOR,2021.07 BAR VOR TX1 PARAMETROS POUT.pdf,2021,EZE
66,BAR,VOR,2021.07 BAR VOR TX2 PARAMETROS POUT.pdf,2021,EZE
67,BAR,VOR,2021.07.30 BAR VOR LH08.pdf,2021,EZE
68,BAR,VOR,2021.11.30 BAR DME VOR PARAMETROS 03.pdf,2021,EZE
69,BAR,VOR,2021.11.30 BAR VOR LH13.pdf,2021,EZE
70,BAR,VOR,2021.11.30 BAR VOR PARAMETROS II 03.pdf,2021,EZE
71,BCA,ILS,2021.03.16 BCA DME ILS PARAMETROS 01.pdf,2021,EZE
72,BCA,ILS,2021.03.16 BCA ILS LH01.pdf,2021,EZE
73,BCA,ILS,2021.03.16 BCA ILS PARAMETROS 01.pdf,2021,EZE
74,BCA,ILS,2021.04.15 BCA DME ILS PARAMETROS 02.pdf,2021,EZE
75,BCA,ILS,2021.04.15 BCA ILS LH02.pdf,2021,EZE
76,BCA,ILS,2021.04.15 BCA ILS PARAMETROS 02.pdf,2021,EZE
77,BCA,ILS,2021.05.15 BCA DME ILS PARAMETROS 03.pdf,2021,EZE
78,BCA,ILS,2021.05.17 BCA ILS LH03.pdf,2021,EZE
79,BCA,ILS,2021.05.17 BCA ILS PARAMETROS 03.pdf,2021,EZE
80,BCA,ILS,2021.07.26 BCA LOC ILS LH07.pdf,2021,EZE
81,BCA,ILS,2021.07.27 BCA DME ILS PARAMETROS 05.pdf,2021,EZE
82,BCA,ILS,2021.07.27 BCA GP ILS LH07.pdf,2021,EZE
83,BCA,ILS,2021.07.27 BCA ILS PARAMETROS 05.pdf,2021,EZE
84,BCA,ILS,2021.08.30 BCA DME ILS PARAMETROS 06.pdf,2021,EZE
85,BCA,ILS,2021.08.30 BCA ILS GP LH08.pdf,2021,EZE
86,BCA,ILS,2021.08.30 BCA ILS LOC LH08.pdf,2021,EZE
87,BCA,ILS,2021.08.30 BCA ILS PARAMETROS 06.pdf,2021,EZE
88,BCA,ILS,2021.09.06 BCA ILS GP LH09.pdf,2021,EZE
89,BCA,ILS,2021.09.06 BCA ILS LOC LH09.pdf,2021,EZE
90,BCA,ILS,2021.09.27 BCA DME ILS PARAMETROS 07.pdf,2021,EZE
91,BCA,ILS,2021.09.27 BCA ILS GP LH10.pdf,2021,EZE
92,BCA,ILS,2021.09.27 BCA ILS LOC LH10.pdf,2021,EZE
93,BCA,ILS,2021.09.27 BCA ILS PARAMETROS 07.pdf,2021,EZE
94,BCA,ILS,2021.10.07 BCA GP ILS LH11.pdf,2021,EZE
95,BCA,ILS,2021.10.07 BCA LOC ILS LH11.pdf,2021,EZE
96,BCA,ILS,2021.10.25 BCA DME ILS PARAMETROS 08.pdf,2021,EZE
97,BCA,ILS,2021.10.25 BCA GP ILS LH12.pdf,2021,EZE
98,BCA,ILS,2021.10.25 BCA LOC ILS LH12.pdf,2021,EZE
99,BCA,ILS,2021.11.02 BCA ILS GP LH13.pdf,2021,EZE
100,BCA,ILS,2021.11.02 BCA ILS LOC LH13.pdf,2021,EZE
101,BCA,ILS,2021.11.24 BCA DME ILS PARAMETROS 09.pdf,2021,EZE
102,BCA,ILS,2021.11.24 BCA ILS GP LH14.pdf,2021,EZE
103,BCA,ILS,2021.11.24 BCA ILS LOC LH14.pdf,2021,EZE
104,BCA,ILS,2021.11.24 BCA ILS PARAMETROS 09.pdf,2021,EZE
105,BCA,ILS,2021.11.25 BCA ILS GP LH15.pdf,2021,EZE
106,BCA,VOR,2021.01.18 BCA VOR LH40.pdf,2021,EZE
107,BCA,VOR,2021.01.18 BCA VOR POUT.txt,2021,EZE
108,BCA,VOR,2021.01.22 BCA VOR LH41.pdf,2021,EZE
109,BCA,VOR,2021.01.22 BCA VOR POUT.txt,2021,EZE
110,BCA,VOR,2021.02.07 BCA VOR LH42.pdf,2021,EZE
111,BCA,VOR,2021.02.07 BCA VOR POUT.txt,2021,EZE
112,BCA,VOR,2021.02.28 BCA VOR LH43.pdf,2021,EZE
113,BCA,VOR,2021.03.01 BCA VOR POUT.txt,2021,EZE
114,BCA,VOR,2021.03.29 BCA DME VOR PARAMETROS 6.1.pdf,2021,EZE
115,BCA,VOR,2021.03.29 BCA DME VOR PARAMETROS 6.2.pdf,2021,EZE
116,BCA,VOR,2021.03.29 BCA VOR LH44.pdf,2021,EZE
117,BCA,VOR,2021.03.29 BCA VOR PARAMETROS 5.1.pdf,2021,EZE
118,BCA,VOR,2021.03.29 BCA VOR PARAMETROS 5.2 A.pdf,2021,EZE
119,BCA,VOR,2021.03.29 BCA VOR PARAMETROS 5.2 B.pdf,2021,EZE
120,BCA,VOR,2021.03.29 BCA VOR POUT.txt,2021,EZE
121,BCA,VOR,2021.04.14 BCA DME VOR PARAMETROS 6.1.pdf,2021,EZE
122,BCA,VOR,2021.04.14 BCA DME VOR PARAMETROS 6.2.pdf,2021,EZE
123,BCA,VOR,2021.04.14 BCA VOR LH45.pdf,2021,EZE
124,BCA,VOR,2021.04.14 BCA VOR PARAMETROS 5.1.pdf,2021,EZE
125,BCA,VOR,2021.04.14 BCA VOR PARAMETROS 5.2 A.pdf,2021,EZE
126,BCA,VOR,2021.04.14 BCA VOR PARAMETROS 5.2 B.pdf,2021,EZE
127,BCA,VOR,2021.04.14 BCA VOR POUT.txt,2021,EZE
128,BCA,VOR,2021.05.14 BCA DME VOR PARAMETROS 6.1.pdf,2021,EZE
129,BCA,VOR,2021.05.24 BCA DME VOR PARAMETROS 6.2.pdf,2021,EZE
130,BCA,VOR,2021.05.24 BCA VOR LH46.pdf,2021,EZE
131,BCA,VOR,2021.05.24 BCA VOR PARAMETROS 5.1.pdf,2021,EZE
132,BCA,VOR,2021.05.24 BCA VOR PARAMETROS 5.2 A.pdf,2021,EZE
133,BCA,VOR,2021.05.24 BCA VOR PARAMETROS 5.2 B.pdf,2021,EZE
134,BCA,VOR,2021.05.24 BCA VOR POUT.txt,2021,EZE
135,BCA,VOR,2021.06.07 BCA VOR LH47.pdf,2021,EZE
136,BCA,VOR,2021.06.07 BCA VOR POUT.txt,2021,EZE
137,BCA,VOR,2021.07.28 BCA DME VOR PARAMETROS 01.pdf,2021,EZE
138,BCA,VOR,2021.07.28 BCA VOR LH01.pdf,2021,EZE
139,BCA,VOR,2021.07.28 BCA VOR PARAMETROS I 01.pdf,2021,EZE
140,BCA,VOR,2021.08.06 BCA VOR LH02.pdf,2021,EZE
141,BCA,VOR,2021.08.25 BCA VOR LH03.pdf,2021,EZE
142,BCA,VOR,2021.08.28 BCA DME VOR PARAMETROS 02.pdf,2021,EZE
143,BCA,VOR,2021.08.28 BCA VOR PARAMETROS I 02.pdf,2021,EZE
144,BCA,VOR,2021.09.06 BCA VOR LH04.pdf,2021,EZE
145,BCA,VOR,2021.09.27 BCA DME PARAMETROS 03.pdf,2021,EZE
146,BCA,VOR,2021.09.27 BCA VOR LH05.pdf,2021,EZE
147,BCA,VOR,2021.09.27 BCA VOR PARAMETROS I 03.pdf,2021,EZE
148,BCA,VOR,2021.09.27 BCA VOR PARAMETROS II 01.pdf,2021,EZE
149,BCA,VOR,2021.10.07 BCA VOR LH06.pdf,2021,EZE
150,BCA,VOR,2021.10.25 BCA DME VOR PARAMETROS 04.pdf,2021,EZE
151,BCA,VOR,2021.10.25 BCA VOR LH07.jpeg,2021,EZE
152,BCA,VOR,2021.10.25 BCA VOR PARAMETROS I 04.pdf,2021,EZE
153,BCA,VOR,2021.11.02 BCA VOR LH08.pdf,2021,EZE
154,BCA,VOR,2021.11.25 BCA DME VOR PARAMETROS 05.pdf,2021,EZE
155,BCA,VOR,2021.11.25 BCA VOR LH09.pdf,2021,EZE
156,BCA,VOR,2021.11.25 BCA VOR PARAMETROS I 05.pdf,2021,EZE
157,BCA,VOR,2021.12.01 BCA VOR LH10.pdf,2021,EZE
158,BCA,VOR,2021.12.28 BCA DME VOR PARAMETROS 06.pdf,2021,EZE
159,BCA,VOR,2021.12.28 BCA VOR LH11.pdf,2021,EZE
160,BCA,VOR,2021.12.28 BCA VOR PARAMETROS I 06.pdf,2021,EZE
161,BCA,VOR,2021.12.28 BCA VOR PARAMETROS II 02.pdf,2021,EZE
162,CAT,VOR,2021.05.20 CAT VOR LH04.pdf,2021,CBA
163,CAT,VOR,2021.06.24 CAT VOR LH05.pdf,2021,CBA
164,CAT,VOR,2021.08.05 CAT VOR LH06.pdf,2021,CBA
165,CAT,VOR,2021.08.05 CAT VOR PARAMETROS I 02.pdf,2021,CBA
166,CAT,VOR,2021.08.05 CAT VOR PARAMETROS II 02.pdf,2021,CBA
167,CAT,VOR,2021.09.02 CAT VOR LH07.pdf,2021,CBA
168,CAT,VOR,2021.11.08 CAT VOR LH10.pdf,2021,CBA
169,CAT,VOR,2021.11.08 CAT VOR PARAMETROS I 04.pdf,2021,CBA
170,CAT,VOR,2021.12.06 CAT VOR LH11.pdf,2021,CBA
171,CAT,VOR,2021.12.06 CAT VOR PARAMETROS I 05.pdf,2021,CBA
172,CBA,ILS,2021.03.31 CBA ILS LH01.jpg,2021,CBA
173,CBA,ILS,2021.04.08 CBA DME ILS PARAMETROS 01.jpg,2021,CBA
174,CBA,ILS,2021.04.08 CBA ILS LH02.jpg,2021,CBA
175,CBA,ILS,2021.04.08 CBA ILS PARAMETROS 01.jpg,2021,CBA
176,CBA,ILS,2021.05 CBA DME ILS PARAMETROS 02.jpg,2021,CBA
177,CBA,ILS,2021.05.12 CBA ILS LH03.jpg,2021,CBA
178,CBA,ILS,2021.05.12 CBA ILS PARAMETROS 02.jpg,2021,CBA
179,CBA,ILS,2021.05.13 CBA ILS LH04.jpg,2021,CBA
180,CBA,ILS,2021.06.14 CBA ILS LH05.jpg,2021,CBA
181,CBA,ILS,2021.06.14 CBA ILS PARAMETROS 03.jpg,2021,CBA
182,CBA,ILS,2021.07.15 CBA ILS LH06.jpg,2021,CBA
183,CBA,ILS,2021.07.15 CBA ILS PARAMETROS 04.jpg,2021,CBA
184,CBA,ILS,2021.08.15 CBA DME ILS PARAMETROS 05.jpg,2021,CBA
185,CBA,ILS,2021.08.15 CBA ILS LH07.jpg,2021,CBA
186,CBA,ILS,2021.08.15 CBA ILS PARAMETROS 05.jpg,2021,CBA
187,CBA,ILS,2021.09.15 CBA ILS LH08.jpg,2021,CBA
188,CBA,ILS,2021.09.15 CBA ILS PARAMETROS 06.jpg,2021,CBA
189,CBA,ILS,2021.10.22 CBA ILS LH09.jpg,2021,CBA
190,CBA,ILS,2021.10.22 CBA ILS PARAMETROS 07.jpg,2021,CBA
191,CBA,ILS,2021.11.25 CBA ILS LH10.jpg,2021,CBA
192,CBA,ILS,2021.12.10 CBA DME ILS PARAMETROS 09.jpg,2021,CBA
193,CBA,ILS,2021.12.10 CBA ILS LH11.jpg,2021,CBA
194,CBA,ILS,2021.12.10 CBA ILS PARAMETROS 09.jpg,2021,CBA
195,CBA,LI,2021.01.03 CBA LI LH713.jpg,2021,CBA
196,CBA,LI,2021.01.06 CBA LI PARAMETROS 7.1.jpg,2021,CBA
197,CBA,LI,2021.02.07 CBA LI LH714.jpg,2021,CBA
198,CBA,LI,2021.02.07 CBA LI PARAMETROS 7.1.jpg,2021,CBA
199,CBA,LI,2021.03.21 CBA LI PARAMETROS 01.jpg,2021,CBA
200,CBA,LI,2021.04.05 CBA LI LH716.jpg,2021,CBA
201,CBA,LI,2021.04.05 CBA LI PARAMETROS 02.jpg,2021,CBA
202,CBA,LI,2021.05.12 CBA LI LH717.jpg,2021,CBA
203,CBA,LI,2021.05.12 CBA LI PARAMETROS 03.jpg,2021,CBA
204,CBA,LI,2021.06.24 CBA LI LH718.jpg,2021,CBA
205,CBA,LI,2021.06.24 CBA LI PARAMETROS 04.jpg,2021,CBA
206,CBA,LI,2021.08.15 CBA LI LH719.jpg,2021,CBA
207,CBA,LI,2021.08.15 CBA LI PARAMETROS 05.jpg,2021,CBA
208,CBA,LI,2021.09.30 CBA LI LH720.jpg,2021,CBA
209,CBA,LI,2021.10.25 CBA LI LH721.jpg,2021,CBA
210,CBA,LI,2021.10.25 CBA LI PARAMETROS 07.jpg,2021,CBA
211,CBA,LI,2021.11.11 CBA LI LH722.jpg,2021,CBA
212,CBA,LI,2021.12.16 CBA LI LH723.jpg,2021,CBA
213,CBA,LI,2021.12.16 CBA LI PARAMETROS 09.jpg,2021,CBA
214,CBA,VOR,2021.01.03 CBA DME VOR PARAMETROS 6.1 .jpg,2021,CBA
215,CBA,VOR,2021.01.03 CBA DME VOR PARAMETROS 6.2 .jpg,2021,CBA
216,CBA,VOR,2021.01.03 CBA VOR PARAMETROS 5.2.jpg,2021,CBA
217,CBA,VOR,2021.02.07 CBA DME VOR PARAMETROS 6.1.jpg,2021,CBA
218,CBA,VOR,2021.02.07 CBA DME VOR PARAMETROS 6.2 .jpg,2021,CBA
219,CBA,VOR,2021.02.07 CBA VOR PARAMETROS 5.2.jpg,2021,CBA
220,CBA,VOR,2021.02.24 CBA VOR LH2159.jpg,2021,CBA
221,CBA,VOR,2021.03.21 CBA DME VOR PARAMETROS 01.jpg,2021,CBA
222,CBA,VOR,2021.03.21 CBA VOR PARAMETROS I 01.jpg,2021,CBA
223,CBA,VOR,2021.04.29 CBA DME VOR PARAMETROS 02.jpg,2021,CBA
224,CBA,VOR,2021.04.29 CBA VOR LH2161.jpg,2021,CBA
225,CBA,VOR,2021.05.12 CBA DME VOR PARAMETROS 03.jpg,2021,CBA
226,CBA,VOR,2021.05.12 CBA VOR LH2162.jpg,2021,CBA
227,CBA,VOR,2021.05.12 CBA VOR PARAMETROS I 03.jpg,2021,CBA
228,CBA,VOR,2021.05.15 CBA VOR LH2166.jpg,2021,CBA
229,CBA,VOR,2021.06.24 CBA DME VOR PARAMETROS 04.jpg,2021,CBA
230,CBA,VOR,2021.06.24 CBA VOR LH2163.jpg,2021,CBA
231,CBA,VOR,2021.06.24 CBA VOR PARAMETROS I 04.jpg,2021,CBA
232,CBA,VOR,2021.07.20 CBA DME VOR PARAMETROS 05.jpg,2021,CBA
233,CBA,VOR,2021.07.20 CBA VOR LH2164.jpg,2021,CBA
234,CBA,VOR,2021.07.20 CBA VOR PARAMETROS I 05.jpg,2021,CBA
235,CBA,VOR,2021.07.30 CBA VOR LH2165.jpg,2021,CBA
236,CBA,VOR,2021.08.15 CBA DME VOR PARAMETROS 06.jpg,2021,CBA
237,CBA,VOR,2021.08.15 CBA VOR PARAMETROS I 06.jpg,2021,CBA
238,CBA,VOR,2021.09.16 CBA DME VOR PARAMETROS 07.jpg,2021,CBA
239,CBA,VOR,2021.09.16 CBA VOR LH2167.jpg,2021,CBA
240,CBA,VOR,2021.09.16 CBA VOR PARAMETROS I 07.jpg,2021,CBA
241,CBA,VOR,2021.10.15 CBA DME VOR LH08.jpg,2021,CBA
242,CBA,VOR,2021.10.15 CBA VOR LH2168.jpg,2021,CBA
243,CBA,VOR,2021.10.15 CBA VOR PARAMETROS I 08.jpg,2021,CBA
244,CBA,VOR,2021.11.19 CBA VOR LH2169.jpg,2021,CBA
245,CBA,VOR,2021.12.16 CBA DME VOR PARAMETROS 10.jpg,2021,CBA
246,CBA,VOR,2021.12.16 CBA VOR LH2170.jpg,2021,CBA
